,id,name,seller_type,owner,engine
43,44,Honda City V MT,Dealer,First Owner,1497 CC
44,45,Maruti Swift Dzire VXi AT,Dealer,First Owner,1197 CC
45,46,Maruti Vitara Brezza VDi,Dealer,First Owner,1248 CC
46,47,Maruti Alto K10 VXI,Dealer,First Owner,998 CC
47,48,Toyota Fortuner 4x4 MT,Dealer,First Owner,2982 CC
48,49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Dealer,First Owner,2494 CC
49,50,Mercedes-Benz B Class B180,Dealer,Second Owner,2143 CC
50,51,Honda Amaze S Diesel,Dealer,First Owner,1498 CC
51,52,Mitsubishi Pajero Sport 4X4,Dealer,First Owner,2477 CC
52,53,Honda City i DTEC S,Dealer,First Owner,1498 CC
53,54,Maruti Ciaz Zeta,Dealer,First Owner,1462 CC
54,55,Honda Jazz VX Diesel,Dealer,First Owner,1498 CC
55,56,Toyota Innova Crysta 2.8 ZX AT BSIV,Dealer,Second Owner,2755 CC
56,57,Toyota Innova 2.5 G (Diesel) 7 Seater,Dealer,First Owner,2494 CC
57,58,Audi A6 2.0 TDI Technology,Dealer,Second Owner,1968 CC
58,59,Toyota Corolla Altis 1.8 VL CVT,Dealer,First Owner,1798 CC
59,60,Audi A6 2.0 TDI  Design Edition,Dealer,First Owner,1968 CC
60,61,Mercedes-Benz New C-Class 220 CDI AT,Dealer,First Owner,2143 CC
61,62,Tata Manza ELAN Quadrajet BS IV,Individual,First Owner,1248 CC
62,63,Hyundai i10 Magna,Individual,Third Owner,1197 CC
63,64,Hyundai i20 Asta 1.4 CRDi,Individual,First Owner,1396 CC
64,65,Maruti Swift Dzire ZDI,Individual,Second Owner,1248 CC
65,66,Ford Figo 1.2P Titanium MT,Individual,Third Owner,1196 CC
66,67,Maruti Baleno Delta 1.2,Individual,First Owner,1197 CC
67,68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Individual,First Owner,1498 CC
68,69,Honda City i DTEC VX,Individual,First Owner,1498 CC
69,70,Maruti Wagon R AMT VXI,Individual,First Owner,998 CC
70,71,Volkswagen Ameo 1.5 TDI Comfortline,Individual,First Owner,1498 CC
71,72,Maruti Vitara Brezza VDi,Individual,First Owner,1248 CC
72,73,Maruti Vitara Brezza ZDi Plus AMT,Individual,First Owner,1248 CC
73,74,Hyundai i10 Magna,Individual,Second Owner,1197 CC
74,75,Maruti Swift VDI Deca,Individual,First Owner,1248 CC
75,76,Toyota Fortuner 4x4 MT,Individual,Second Owner,2982 CC
76,77,Maruti Swift Star VDI,Individual,Second Owner,1248 CC
77,78,Maruti Ertiga ZXI,Individual,Second Owner,1373 CC
78,79,Tata Indica DLS,Individual,First Owner,
79,80,Volkswagen Vento Diesel Highline,Individual,First Owner,1598 CC
80,81,Toyota Innova 2.5 VX (Diesel) 8 Seater,Individual,First Owner,2494 CC
81,82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Individual,First Owner,1498 CC
82,83,BMW X1 sDrive20i xLine,Individual,Second Owner,1998 CC
83,84,Maruti Celerio ZXI MT BSIV,Dealer,First Owner,998 CC
84,85,Datsun GO A Petrol,Dealer,First Owner,1198 CC
85,86,Maruti Alto 800 VXI BSIV,Dealer,First Owner,796 CC
86,87,Maruti Alto 800 LXI BSIV,Dealer,First Owner,796 CC
87,88,Maruti Swift VDI BSIV W ABS,Dealer,First Owner,
88,89,Hyundai i10 Era 1.1,Dealer,First Owner,1086 CC
89,90,Maruti Omni 8 Seater BSIV,Dealer,First Owner,796 CC
90,91,Maruti Wagon R LXI LPG BSIV,Dealer,First Owner,998 CC
91,92,Volkswagen Polo 1.2 MPI Comfortline,Dealer,First Owner,1198 CC
92,93,Hyundai i10 Magna 1.1L,Dealer,Second Owner,1086 CC
93,94,Volkswagen Vento Petrol Highline,Dealer,Second Owner,1598 CC
94,95,Maruti Zen Estilo LXI BSIII,Dealer,First Owner,998 CC
95,96,Hyundai i20 Asta Optional with Sunroof 1.2,Dealer,First Owner,1197 CC
96,97,Maruti Swift Dzire LDI,Individual,First Owner,1248 CC
97,98,Hyundai Xcent 1.2 Kappa SX Option AT,Dealer,First Owner,1197 CC
98,99,Maruti Alto LX BSIII,Dealer,Third Owner,796 CC
99,100,Hyundai i20 1.4 Asta Option,Individual,First Owner,1396 CC
100,101,Maruti Wagon R VXI,Dealer,Second Owner,998 CC
101,102,Tata Manza Aura (ABS) Quadrajet,Individual,Second Owner,1248 CC
102,103,Maruti Swift VXI,Individual,First Owner,1197 CC
103,104,Maruti Eeco 7 Seater Standard BSIV,Individual,Third Owner,1196 CC
104,105,Maruti Baleno Zeta 1.2,Individual,First Owner,1197 CC
105,106,Mahindra Scorpio VLX AT AIRBAG BSIV,Individual,Second Owner,2179 CC
106,107,Ford Freestyle Titanium Petrol BSIV,Individual,Second Owner,1194 CC
107,108,Hyundai Verna VTVT 1.6 SX,Individual,First Owner,1591 CC
108,109,Volkswagen Passat 1.8 TSI MT,Individual,First Owner,1798 CC
109,110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Individual,First Owner,1172 CC
110,111,Mahindra XUV500 W11 Option AWD,Individual,First Owner,2179 CC
111,112,Tata Indigo CS LS (TDI) BS-III,Individual,First Owner,1405 CC
112,113,Hyundai Verna 1.6 SX,Individual,Second Owner,1582 CC
113,114,Hyundai i20 Magna 1.4 CRDi (Diesel),Individual,First Owner,1396 CC
114,115,Toyota Corolla Altis G,Individual,Second Owner,1798 CC
115,116,Maruti Celerio VXI,Individual,First Owner,998 CC
116,117,Maruti Vitara Brezza ZDi Plus Dual Tone,Individual,First Owner,1248 CC
117,118,Maruti Swift Dzire VXI,Individual,First Owner,1197 CC
118,119,Maruti Wagon R VXI BS IV,Individual,First Owner,998 CC
119,120,Maruti Swift VDI BSIV,Individual,Second Owner,
120,121,Nissan Terrano XL 85 PS,Individual,Third Owner,1461 CC
121,122,Hyundai Creta 1.6 CRDi SX,Individual,First Owner,1582 CC
122,123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Individual,First Owner,1498 CC
123,124,Maruti Swift Dzire VDi,Individual,Fourth & Above Owner,1248 CC
124,125,Renault KWID 1.0,Individual,First Owner,999 CC
125,126,Maruti Celerio VXI,Individual,Second Owner,998 CC
126,127,Maruti Alto LXi,Individual,Fourth & Above Owner,796 CC
127,128,Maruti Ertiga VDI,Individual,Second Owner,1248 CC
128,129,Hyundai Santro Xing GLS,Individual,Second Owner,1086 CC
129,130,Maruti Ertiga VDI,Individual,Second Owner,1248 CC
130,131,Honda Amaze S i-VTEC,Dealer,First Owner,1198 CC
131,132,Audi Q5 35TDI Premium Plus,Dealer,First Owner,1968 CC
132,133,Lexus ES 300h,Dealer,First Owner,2487 CC
133,134,Jaguar XF 2.0 Diesel Portfolio,Dealer,First Owner,1999 CC
134,135,Jeep Wrangler 2016-2019 3.6 4X4,Individual,First Owner,3604 CC
135,136,Land Rover Discovery Sport TD4 SE,Dealer,First Owner,1999 CC
136,137,Mercedes-Benz S-Class S 350 CDI,Dealer,First Owner,2987 CC
137,138,BMW 5 Series 520d Sport Line,Dealer,First Owner,1995 CC
138,139,BMW X1 sDrive 20D xLine,Dealer,First Owner,
139,140,BMW X4 M Sport X xDrive20d,Dealer,First Owner,1995 CC
140,141,Skoda Superb LK 1.8 TSI AT,Dealer,First Owner,1798 CC
141,142,Mercedes-Benz E-Class E250 Edition E,Dealer,First Owner,2143 CC
142,143,MG Hector Sharp AT BSIV,Dealer,First Owner,1451 CC
143,144,Honda City i-VTEC CVT VX,Dealer,First Owner,1497 CC
144,145,Toyota Corolla Altis 1.8 G CVT,Dealer,First Owner,1798 CC
145,146,Volvo XC40 D4 R-Design,Dealer,First Owner,1969 CC
146,147,Audi Q7 35 TDI Quattro Premium,Dealer,First Owner,2967 CC
147,148,Maruti Ciaz ZDi,Dealer,First Owner,1248 CC
148,149,Mercedes-Benz S-Class S 350 CDI,Dealer,First Owner,2987 CC
149,150,BMW 5 Series 523i,Dealer,Second Owner,2497 CC
150,151,Hyundai Elantra S,Dealer,First Owner,1797 CC
151,152,Jaguar XE 2016-2019 2.0L Diesel Prestige,Dealer,First Owner,1999 CC
152,153,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,Dealer,First Owner,1198 CC
153,154,Volkswagen Vento Petrol Highline,Individual,First Owner,1598 CC
154,155,Hyundai Elantra SX,Individual,First Owner,1797 CC
155,156,Skoda Rapid 1.6 MPI AT Elegance,Dealer,First Owner,1598 CC
156,157,Mercedes-Benz CLA 200 CGI Sport,Dealer,First Owner,1991 CC
157,158,Maruti Ertiga ZXI,Dealer,First Owner,1373 CC
158,159,Mercedes-Benz New C-Class C 200 AVANTGARDE,Dealer,First Owner,1991 CC
159,160,Honda City V AT,Dealer,First Owner,1497 CC
160,161,Toyota Glanza V CVT,Dealer,First Owner,1197 CC
161,162,Maruti Alto K10 VXI,Dealer,First Owner,998 CC
162,163,Maruti Swift VXI,Dealer,First Owner,1197 CC
163,164,Toyota Innova Crysta 2.8 ZX AT BSIV,Dealer,Second Owner,2755 CC
164,165,Tata Nexon 1.5 Revotorq XZA Plus DualTone,Dealer,First Owner,1497 CC
165,166,BMW 3 Series 320d Luxury Line,Dealer,First Owner,1995 CC
166,167,Toyota Camry 2.5 Hybrid,Dealer,First Owner,2494 CC
167,168,BMW 5 Series 520d Luxury Line,Dealer,First Owner,1995 CC
168,169,Toyota Camry W4 (AT),Dealer,First Owner,2362 CC
169,170,Maruti Ertiga BSIV ZXI Plus,Individual,First Owner,1373 CC
170,171,Volvo XC90 T8 Excellence BSIV,Individual,First Owner,1969 CC
171,172,Volkswagen Vento Diesel Highline,Individual,Second Owner,1598 CC
172,173,Ford Figo Aspire 1.2 Ti-VCT Trend,Individual,First Owner,1196 CC
173,174,Ford Figo Diesel LXI,Individual,First Owner,1399 CC
174,175,Maruti Swift VXI Optional,Individual,First Owner,1197 CC
175,176,Maruti Wagon R AMT VXI,Individual,Second Owner,998 CC
176,177,Hyundai i20 Magna 1.2,Individual,Second Owner,1197 CC
177,178,Maruti 800 Std,Individual,Second Owner,796 CC
178,179,Maruti Ritz VDi,Individual,First Owner,1248 CC
179,180,Hyundai Grand i10 Magna,Individual,First Owner,1197 CC
180,181,Volkswagen Ameo 1.0 MPI Trendline,Individual,First Owner,999 CC
181,182,Hyundai Grand i10 Sportz,Individual,Second Owner,1197 CC
182,183,Maruti Swift Dzire VXI,Individual,First Owner,1197 CC
183,184,Hyundai Xcent 1.2 Kappa S,Individual,Second Owner,1197 CC
184,185,Honda City 1.5 EXI,Individual,Second Owner,1493 CC
185,186,Toyota Corolla Altis Diesel D4DG,Individual,First Owner,1364 CC
186,187,Daewoo Matiz SD,Individual,First Owner,796 CC
187,188,Toyota Fortuner 4x2 Manual,Individual,Second Owner,2982 CC
188,189,Mahindra KUV 100 mFALCON G80 K8,Individual,Second Owner,1198 CC
189,190,Tata Zest Quadrajet 1.3 75PS XM,Individual,First Owner,1248 CC
190,191,Honda City 1.5 S MT,Individual,Second Owner,1497 CC
191,192,Maruti Zen LXI,Individual,First Owner,993 CC
192,193,Maruti Wagon R VXI BS IV with ABS,Individual,Second Owner,998 CC
193,194,Hyundai Verna Transform SX VTVT,Individual,Third Owner,1599 CC
194,195,Maruti Swift Dzire VXI,Individual,Second Owner,1197 CC
195,196,Hyundai Getz GLS,Individual,First Owner,1341 CC
196,197,Hyundai Elite i20 Sportz Plus BSIV,Individual,First Owner,1197 CC
197,198,Maruti Ciaz 1.3 Alpha,Individual,First Owner,1248 CC
198,199,Tata Tigor 1.2 Revotron XZ,Individual,First Owner,1199 CC
199,200,Maruti Ertiga VDI,Individual,First Owner,1248 CC
200,201,Toyota Etios GD,Individual,First Owner,
201,202,Honda City i VTEC S,Individual,First Owner,1497 CC
202,203,Honda Brio S MT,Individual,Second Owner,1198 CC
203,204,Maruti Wagon R LXI CNG,Individual,First Owner,998 CC
204,205,Maruti Swift Dzire VXI,Individual,First Owner,1197 CC
205,206,Hyundai i20 Sportz 1.2,Individual,First Owner,1197 CC
206,207,Maruti Omni E 8 Str STD,Individual,Second Owner,
207,208,Maruti Wagon R AMT VXI,Individual,First Owner,998 CC
208,209,Maruti Swift Dzire VXI 1.2,Individual,First Owner,1197 CC
209,210,Maruti Alto 800 LXI,Individual,First Owner,796 CC
210,211,Maruti Swift Dzire AMT VXI BS IV,Individual,First Owner,1197 CC
211,212,Maruti Swift VXI Optional,Individual,First Owner,1197 CC
212,213,Tata Hexa XE,Individual,First Owner,2179 CC
213,214,Hyundai i20 Magna,Individual,Second Owner,1197 CC
214,215,Maruti Swift Dzire VDI,Individual,First Owner,1248 CC
215,216,Maruti Wagon R VXI BS IV,Individual,First Owner,998 CC
216,217,Toyota Corolla Altis 1.8 VL AT,Individual,First Owner,1794 CC
217,218,Honda Brio S MT,Individual,First Owner,1198 CC
218,219,Maruti Baleno Alpha Automatic,Individual,First Owner,1197 CC
219,220,Tata Safari Storme EX,Individual,First Owner,2179 CC
220,221,Maruti Alto LXi,Individual,Second Owner,796 CC
221,222,Renault KWID RXT,Individual,First Owner,799 CC
222,223,Datsun GO T BSIV,Individual,Second Owner,1198 CC
223,224,Maruti Vitara Brezza VDi Option,Individual,First Owner,1248 CC
224,225,Hyundai Xcent 1.2 VTVT SX,Individual,First Owner,1197 CC
225,226,Maruti Alto 800 LXI,Individual,First Owner,796 CC
226,227,Hyundai i20 1.2 Sportz,Individual,Second Owner,1197 CC
227,228,Tata Zest Revotron 1.2 XT,Individual,First Owner,1193 CC
228,229,Maruti Swift 1.3 VXi,Individual,Second Owner,
229,230,Nissan Sunny XL,Individual,First Owner,1498 CC
230,231,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,Individual,First Owner,1497 CC
231,232,Nissan Micra Active XV S,Individual,First Owner,1198 CC
232,233,Maruti Wagon R LXI Optional,Individual,First Owner,998 CC
233,234,Mahindra Ssangyong Rexton RX5,Individual,First Owner,2696 CC
234,235,Mahindra Quanto C8,Individual,Second Owner,1493 CC
235,236,Maruti Ritz LDi,Individual,Second Owner,1248 CC
236,237,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,Individual,First Owner,1582 CC
237,238,Renault KWID RXT,Individual,First Owner,799 CC
238,239,Maruti Ertiga VDI,Individual,First Owner,1248 CC
239,240,Mahindra XUV500 W4,Individual,First Owner,2179 CC
240,241,Maruti Eeco 5 Seater AC BSIV,Individual,First Owner,1196 CC
241,242,Hyundai Santro Xing GLS,Individual,First Owner,1086 CC
242,243,Hyundai Accent GLE,Individual,Second Owner,1495 CC
243,244,Mahindra XUV500 W8 2WD,Individual,First Owner,2179 CC
244,245,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,Individual,First Owner,2494 CC
245,246,Maruti Swift Dzire VDI,Individual,First Owner,1248 CC
246,247,Honda Amaze S CVT Petrol BSIV,Individual,First Owner,1199 CC
247,248,Hyundai i10 Sportz 1.2,Individual,Second Owner,1197 CC
248,249,Maruti Swift Dzire VDI,Individual,Second Owner,1248 CC
249,250,Maruti Ertiga SHVS ZDI Plus,Individual,First Owner,1248 CC
250,251,Hyundai Getz 1.3 GVS,Individual,Second Owner,1341 CC
251,252,Hyundai i20 1.2 Magna,Individual,Second Owner,1197 CC
252,253,Tata Indica DLS,Individual,Second Owner,
253,254,Maruti Swift LXI Optional-O,Individual,First Owner,1197 CC
254,255,Tata Indica Vista TDI LS,Individual,First Owner,1405 CC
255,256,Hyundai i20 2015-2017 Asta 1.4 CRDi,Individual,First Owner,1396 CC
256,257,Maruti Ignis 1.3 Alpha,Individual,First Owner,1248 CC
257,258,Tata Hexa XTA,Individual,First Owner,2179 CC
258,259,Mahindra Marazzo M6 8Str,Individual,First Owner,1497 CC
259,260,Hyundai Verna 1.6 CRDI,Individual,First Owner,1582 CC
260,261,Maruti Swift Dzire VDI,Individual,First Owner,1248 CC
261,262,Maruti Swift Dzire LDi,Individual,First Owner,1248 CC
262,263,Honda City i DTEC V,Individual,Second Owner,1498 CC
263,264,Maruti Swift Dzire ZDi,Individual,First Owner,1248 CC
264,265,Hyundai Xcent 1.2 CRDi E,Individual,Second Owner,1186 CC
265,266,Toyota Fortuner 3.0 Diesel,Individual,Second Owner,2982 CC
266,267,Tata Tiago 1.05 Revotorq XZ,Individual,First Owner,1047 CC
267,268,Nissan Sunny XL AT Special Edition,Individual,Second Owner,1498 CC
268,269,Hyundai Elite i20 Magna Plus BSIV,Individual,First Owner,1197 CC
269,270,Maruti Swift Dzire VXI,Individual,First Owner,1197 CC
270,271,Toyota Innova 2.5 GX 7 STR,Individual,First Owner,2494 CC
271,272,Mahindra Thar CRDe,Individual,First Owner,2498 CC
272,273,Maruti Swift Dzire ZDi,Individual,First Owner,1248 CC
273,274,Maruti Swift 1.2 DLX (Only Delhi),Individual,First Owner,1197 CC
274,275,Datsun GO D Petrol,Individual,First Owner,1198 CC
275,276,Hyundai i20 Asta 1.4 CRDi,Individual,Fourth & Above Owner,1396 CC
276,277,Mahindra Scorpio LX,Individual,First Owner,2179 CC
277,278,Tata Sumo Gold EX BSIII,Individual,First Owner,2956 CC
278,279,Tata Tiago Wizz 1.05 Revotorq,Individual,First Owner,1047 CC
279,280,Tata Zest Revotron 1.2 XT,Individual,First Owner,1193 CC
280,281,Hyundai Accent GLE,Individual,Third Owner,1495 CC
281,282,Honda Brio Exclusive Edition,Dealer,First Owner,1198 CC
282,283,Hyundai Grand i10 AT Asta,Dealer,First Owner,1197 CC
283,284,Tata Manza Club Class Quadrajet90 LX,Individual,First Owner,1248 CC
284,285,Maruti Alto LX,Individual,Second Owner,796 CC
285,286,Tata New Safari DICOR 2.2 EX 4x2,Individual,Third Owner,2179 CC
286,287,Mahindra Bolero SLE,Individual,Second Owner,2523 CC
287,288,Mahindra Bolero DI DX 7 Seater,Individual,Second Owner,2523 CC
288,289,Mercedes-Benz GL-Class 220d 4MATIC Sport,Individual,First Owner,2143 CC
289,290,Maruti Omni E MPI STD BS IV,Individual,First Owner,796 CC
290,291,Hyundai Grand i10 Sportz,Individual,First Owner,1197 CC
291,292,Hyundai Grand i10 Sportz,Individual,First Owner,1197 CC
292,293,Hyundai i10 Sportz AT,Individual,First Owner,1197 CC
293,294,Maruti Swift VXI Deca,Individual,First Owner,1197 CC
294,295,Hyundai i10 Sportz AT,Individual,First Owner,1197 CC
295,296,Maruti Swift VXI,Individual,Second Owner,1197 CC
296,297,Maruti Swift VXI,Individual,Second Owner,1197 CC
297,298,Mahindra Bolero 2011-2019 ZLX,Individual,First Owner,2523 CC
298,299,Hyundai Verna 1.6 SX VTVT (O),Individual,First Owner,1591 CC
299,300,Hyundai i20 Active 1.2,Individual,First Owner,1197 CC
300,301,Maruti Baleno Zeta,Individual,First Owner,1197 CC
301,302,Hyundai i20 1.2 Asta,Individual,First Owner,1197 CC
302,303,Maruti Alto LXI,Individual,Second Owner,796 CC
303,304,Maruti Swift Dzire VDI,Individual,First Owner,1248 CC
304,305,Maruti Swift Dzire VXI,Individual,Second Owner,1197 CC
305,306,Hyundai Grand i10 CRDi Sportz,Individual,Second Owner,1120 CC
306,307,Maruti Swift 1.3 VXi,Individual,Second Owner,
307,308,Maruti Swift Dzire VXI,Individual,Second Owner,1197 CC
308,309,Chevrolet Beat LS,Individual,Third Owner,1199 CC
309,310,Tata Tigor 1.2 Revotron XZA,Individual,First Owner,1199 CC
310,311,Maruti 800 Std,Individual,First Owner,796 CC
311,312,Honda City i-DTEC VX,Individual,First Owner,1498 CC
312,313,Honda City i-DTEC VX,Individual,First Owner,1498 CC
313,314,Maruti Ertiga VXI,Individual,Third Owner,1373 CC
314,315,Nissan Terrano XV Premium 110 PS,Individual,Second Owner,1461 CC
315,316,Honda City i VTEC VX,Individual,First Owner,1497 CC
316,317,Mahindra Willys CJ 3B 4X4,Individual,Third Owner,
317,318,Renault KWID RXL,Individual,First Owner,799 CC
318,319,Toyota Innova 2.5 GX (Diesel) 8 Seater,Individual,Second Owner,2494 CC
319,320,Maruti Wagon R VXI BS IV,Individual,First Owner,998 CC
320,321,Hyundai Creta 1.4 CRDi S Plus,Individual,First Owner,1396 CC
321,322,Tata Tiago 1.2 Revotron XZ,Individual,First Owner,1199 CC
322,323,Hyundai Grand i10 1.2 CRDi Sportz,Individual,First Owner,1186 CC
323,324,Maruti Baleno Zeta Automatic,Individual,First Owner,1197 CC
324,325,Maruti Swift ZXI ABS,Individual,Third Owner,1298 CC
325,326,Maruti Swift Dzire VXi AT,Individual,First Owner,1197 CC
326,327,Maruti Swift LXI Option,Individual,First Owner,1197 CC
327,328,Hyundai i20 1.2 Asta,Individual,Fourth & Above Owner,1197 CC
328,329,Maruti Zen LXI,Individual,Fourth & Above Owner,993 CC
329,330,Maruti Celerio LXI,Individual,First Owner,998 CC
330,331,Toyota Innova 2.5 V Diesel 8-seater,Individual,Third Owner,2494 CC
331,332,Maruti Ritz LDi,Individual,Third Owner,1248 CC
332,333,Nissan Micra Diesel XV,Individual,First Owner,1461 CC
333,334,Maruti Zen LXI,Individual,Fourth & Above Owner,993 CC
334,335,Hyundai Verna 1.6 SX VTVT (O),Individual,Second Owner,1591 CC
335,336,Maruti Zen Estilo LXI BSIII,Individual,Second Owner,998 CC
336,337,Hyundai Santro Xing XL,Individual,Second Owner,
337,338,Maruti Alto LX,Individual,Fourth & Above Owner,796 CC
338,339,Maruti Swift Dzire ZDi,Individual,Fourth & Above Owner,1248 CC
339,340,Maruti A-Star Vxi,Individual,Second Owner,998 CC
340,341,Maruti Ertiga VDI,Individual,Third Owner,1248 CC
341,342,Maruti Swift Ldi BSIII,Individual,Third Owner,1248 CC
342,343,Nissan Micra Diesel XV,Individual,First Owner,1461 CC
343,344,Maruti Wagon R LXI,Individual,Second Owner,998 CC
344,345,Ford Figo Diesel Titanium,Individual,Second Owner,1399 CC
345,346,Mahindra XUV300 W8 Option BSIV,Dealer,First Owner,1197 CC
346,347,Hyundai Creta 1.6 CRDi AT SX Plus,Individual,First Owner,1582 CC
347,348,Maruti Swift VXI BSIV,Dealer,First Owner,1197 CC
348,349,Datsun GO T Option BSIV,Dealer,First Owner,1198 CC
349,350,Hyundai Grand i10 Asta,Dealer,First Owner,1197 CC
350,351,Toyota Fortuner 2.8 2WD MT BSIV,Individual,First Owner,2755 CC
351,352,Renault KWID RXL,Dealer,First Owner,799 CC
352,353,Honda Brio 1.2 VX MT,Dealer,First Owner,1198 CC
353,354,Volkswagen Ameo 1.2 MPI Comfortline Plus,Dealer,First Owner,1198 CC
354,355,Nissan Sunny XV Special Edition,Dealer,First Owner,1498 CC
355,356,Toyota Etios Liva GD SP,Dealer,Second Owner,1364 CC
356,357,Hyundai i10 Sportz,Dealer,First Owner,1197 CC
357,358,Renault Duster 85PS Diesel RxL,Dealer,First Owner,1461 CC
358,359,Mahindra XUV500 W8 2WD,Dealer,First Owner,2179 CC
359,360,Toyota Innova 2.5 V Diesel 7-seater,Individual,Fourth & Above Owner,2494 CC
360,361,Tata Indigo CS eGLX BS IV,Individual,Second Owner,1193 CC
361,362,Hyundai Elantra SX AT,Dealer,First Owner,1797 CC
362,363,Mercedes-Benz New C-Class 220 CDI AT,Individual,First Owner,2143 CC
363,364,Tata Nano STD,Dealer,First Owner,624 CC
364,365,Nissan Micra Diesel XL,Individual,First Owner,1461 CC
365,366,Maruti Wagon R LXI,Individual,First Owner,998 CC
366,367,Maruti Swift Dzire VDI,Individual,Second Owner,1248 CC
367,368,Hyundai i10 Magna,Individual,Fourth & Above Owner,1197 CC
368,369,Renault KWID RXT,Individual,First Owner,799 CC
369,370,Volkswagen GTI 1.8 TSI,Individual,First Owner,1798 CC
370,371,Jaguar XE 2016-2019 2.0L Diesel Prestige,Dealer,First Owner,1999 CC
371,372,Lexus ES 300h,Dealer,First Owner,2487 CC
372,373,Jaguar XF 2.0 Diesel Portfolio,Dealer,First Owner,1999 CC
373,374,Tata Safari Storme EX,Individual,First Owner,2179 CC
374,375,Volvo XC40 D4 Inscription BSIV,Individual,First Owner,1969 CC
375,376,Toyota Camry 2.5 Hybrid,Trustmark Dealer,First Owner,2494 CC
376,377,Maruti Wagon R LXI,Trustmark Dealer,First Owner,998 CC
377,378,Maruti Baleno Alpha 1.3,Dealer,First Owner,1248 CC
378,379,Honda Jazz VX,Trustmark Dealer,First Owner,1199 CC
379,380,Toyota Innova 2.5 VX (Diesel) 7 Seater,Trustmark Dealer,Second Owner,2494 CC
380,381,Maruti Swift AMT VVT VXI,Trustmark Dealer,First Owner,1197 CC
381,382,Toyota Etios VX,Trustmark Dealer,First Owner,1496 CC
382,383,Maruti Swift AMT ZXI,Dealer,First Owner,1197 CC
